out_channel,kernel_size,in_channel,img_size,dl2sql_time,ours_time
32,4,3,32,0.03157663345336914,0.006072282791137695
32,5,3,32,0.04000353813171387,0.005597591400146484
32,6,3,32,0.04851698875427246,0.004624843597412109
32,7,3,32,0.05940580368041992,0.005675792694091797
64,4,3,32,0.05594229698181152,0.008212089538574219
64,5,3,32,0.07548928260803223,0.007288217544555664
64,6,3,32,0.0985105037689209,0.007474422454833984
64,7,3,32,0.12196135520935059,0.007109880447387695
128,4,3,32,0.11010360717773438,0.013712406158447266
128,5,3,32,0.15571117401123047,0.014641046524047852
128,6,3,32,0.2017498016357422,0.016159534454345703
128,7,3,32,0.2521688938140869,0.014135599136352539
32,4,32,32,0.12109041213989258,0.037172555923461914
32,5,32,32,0.16306376457214355,0.038788795471191406
32,6,32,32,0.15059709548950195,0.028025150299072266
32,7,32,32,0.19628119468688965,0.03335738182067871
64,4,32,32,0.1808788776397705,0.06930303573608398
64,5,32,32,0.32909274101257324,0.06733489036560059
64,6,32,32,0.32362961769104004,0.0688161849975586
64,7,32,32,0.4287872314453125,0.0734567642211914
128,4,32,32,0.36670374870300293,0.154341459274292
128,5,32,32,0.6783115863800049,0.14233183860778809
128,6,32,32,0.6534914970397949,0.15811920166015625
128,7,32,32,0.8601858615875244,0.16230297088623047
32,4,64,32,0.19592809677124023,0.08002734184265137
32,5,64,32,0.2778654098510742,0.08612751960754395
32,6,64,32,0.32346081733703613,0.0558931827545166
32,7,64,32,0.3971569538116455,0.06261253356933594
64,4,64,32,0.3728196620941162,0.16644811630249023
64,5,64,32,0.5218594074249268,0.1567845344543457
64,6,64,32,0.6674082279205322,0.1613471508026123
64,7,64,32,0.7953026294708252,0.1434636116027832
128,4,64,32,0.7260363101959229,0.30328893661499023
128,5,64,32,1.0533344745635986,0.32768893241882324
128,6,64,32,1.3671550750732422,0.303638219833374
128,7,64,32,1.6818814277648926,0.30366969108581543
32,4,128,32,0.3685629367828369,0.16549396514892578
32,5,128,32,0.47751283645629883,0.18406891822814941
32,6,128,32,0.5586848258972168,0.11167359352111816
32,7,128,32,0.7112188339233398,0.11667084693908691
64,4,128,32,0.7610695362091064,0.32231974601745605
64,5,128,32,0.9616634845733643,0.31716227531433105
64,6,128,32,1.2697134017944336,0.31362223625183105
64,7,128,32,1.5137503147125244,0.3188807964324951
128,4,128,32,1.465301752090454,0.6291379928588867
128,5,128,32,1.8908576965332031,0.5984885692596436
128,6,128,32,2.396336317062378,0.5894739627838135
128,7,128,32,2.9950971603393555,0.6327576637268066
32,4,3,64,0.08986735343933105,0.027608394622802734
32,5,3,64,0.08853483200073242,0.02953815460205078
32,6,3,64,0.08857369422912598,0.028626680374145508
32,7,3,64,0.0888376235961914,0.029417037963867188
64,4,3,64,0.17632007598876953,0.041187286376953125
64,5,3,64,0.1748673915863037,0.0435938835144043
64,6,3,64,0.17745542526245117,0.04727315902709961
64,7,3,64,0.1751689910888672,0.046379804611206055
128,4,3,64,0.34096455574035645,0.09848642349243164
128,5,3,64,0.34328246116638184,0.1009819507598877
128,6,3,64,0.34397268295288086,0.10544419288635254
128,7,3,64,0.34165358543395996,0.08331489562988281
32,4,32,64,0.3775191307067871,0.2495574951171875
32,5,32,64,0.5302557945251465,0.26607418060302734
32,6,32,64,0.7365972995758057,0.26397085189819336
32,7,32,64,0.9227428436279297,0.3106343746185303
64,4,32,64,0.7406816482543945,0.45072340965270996
64,5,32,64,1.061403512954712,0.4535539150238037
64,6,32,64,1.4489638805389404,0.4887373447418213
64,7,32,64,1.847620964050293,0.5106613636016846
128,4,32,64,1.4415016174316406,0.8920104503631592
128,5,32,64,2.081325054168701,0.9340968132019043
128,6,32,64,2.8813323974609375,0.981165885925293
128,7,32,64,3.643306016921997,0.7950425148010254
32,4,64,64,0.7944068908691406,0.1963183879852295
32,5,64,64,1.069782018661499,0.2776477336883545
32,6,64,64,1.4683034420013428,0.321091890335083
32,7,64,64,1.8580665588378906,0.2887592315673828
64,4,64,64,1.4735357761383057,0.3436892032623291
64,5,64,64,2.0931320190429688,0.49454188346862793
64,6,64,64,2.888235092163086,0.5387825965881348
64,7,64,64,3.6315701007843018,0.47899818420410156
128,4,64,64,2.9072022438049316,0.7076070308685303
128,5,64,64,4.184980869293213,0.9056789875030518
128,6,64,64,5.6737096309661865,0.872197151184082
128,7,64,64,7.230535984039307,0.987663745880127
32,4,128,64,1.6092243194580078,0.3585076332092285
32,5,128,64,2.257793426513672,0.42833852767944336
32,6,128,64,3.0602924823760986,0.4562971591949463
32,7,128,64,3.9331960678100586,0.5710363388061523
64,4,128,64,2.9319915771484375,0.48349428176879883
64,5,128,64,4.1558616161346436,0.5177781581878662
64,6,128,64,5.6186182498931885,0.5554506778717041
64,7,128,64,7.148160934448242,0.5360338687896729
128,4,128,64,5.8239758014678955,0.8041391372680664
128,5,128,64,8.366947650909424,0.8146364688873291
128,6,128,64,11.188050508499146,0.8883659839630127
128,7,128,64,14.327151775360107,1.2601110935211182
32,4,3,128,0.2240588665008545,0.13400912284851074
32,5,3,128,0.2797563076019287,0.14270973205566406
32,6,3,128,0.3678557872772217,0.1525564193725586
32,7,3,128,0.4512488842010498,0.17912077903747559
64,4,3,128,0.3527204990386963,0.17055845260620117
64,5,3,128,0.5294981002807617,0.19776344299316406
64,6,3,128,0.6726884841918945,0.20427489280700684
64,7,3,128,0.8283157348632812,0.2172718048095703
128,4,3,128,0.7215206623077393,0.3847799301147461
128,5,3,128,1.0303895473480225,0.3452630043029785
128,6,3,128,1.335841178894043,0.4087843894958496
128,7,3,128,1.6453499794006348,0.44723939895629883
32,4,32,128,1.6886777877807617,0.3184628486633301
32,5,32,128,2.3666272163391113,0.3817873001098633
32,6,32,128,3.3280251026153564,0.42017459869384766
32,7,32,128,4.364018678665161,0.5918245315551758
64,4,32,128,3.0854265689849854,0.48958349227905273
64,5,32,128,4.353436231613159,0.5107543468475342
64,6,32,128,5.991246461868286,0.5437121391296387
64,7,32,128,7.876315355300903,0.6189062595367432
128,4,32,128,6.130070447921753,0.989166259765625
128,5,32,128,8.637531757354736,1.063173770904541
128,6,32,128,12.045435905456543,1.1370387077331543
128,7,32,128,15.857481718063354,1.2636280059814453
32,4,64,128,3.326439619064331,0.6932804584503174
32,5,64,128,4.746150970458984,0.7187705039978027
32,6,64,128,6.595460891723633,0.8958907127380371
32,7,64,128,8.652934551239014,1.5130360126495361
64,4,64,128,6.043348550796509,0.944392204284668
64,5,64,128,8.6007719039917,0.9871876239776611
64,6,64,128,11.928779602050781,1.043994665145874
64,7,64,128,15.692988157272339,1.1941545009613037
128,4,64,128,12.016051054000854,2.0284841060638428
128,5,64,128,17.654198169708252,2.1243512630462646
128,6,64,128,24.126983880996704,2.135709762573242
128,7,64,128,31.513946771621704,2.537449836730957
32,4,128,128,6.723917007446289,1.2532227039337158
32,5,128,128,9.491621971130371,1.6925218105316162
32,6,128,128,13.109156370162964,2.822812557220459
32,7,128,128,17.223202228546143,4.046956539154053
64,4,128,128,11.915531873703003,1.5798442363739014
64,5,128,128,17.683424711227417,1.5544612407684326
64,6,128,128,24.035566091537476,2.1406123638153076
64,7,128,128,31.37367343902588,2.578967571258545
128,4,128,128,24.995827436447144,4.108388900756836
128,5,128,128,36.50667858123779,4.337252140045166
128,6,128,128,49.180452823638916,4.121079683303833
128,7,128,128,64.52256774902344,5.332209587097168
