prompt_len,methods,model,TTFT_avg,TPOT_avg,TTFT_lower,TTFT_upper,TPOT_lower,TPOT_upper
25,TranSQL w/o opt,llama,39.204,9.06,1.03135087,0.753460386,0.2814973,0.12002395
25,TranSQL w/ opt,llama,14.302,5.059,0.46426291,0.26537759,0.0797351,0.07423826
25,Deepspeed,llama,245.168,18.657,4.02161049,2.5615453,0.1875241,0.2708309
25,Llama.cpp,llama,231.858,16.029,10.28801799,4.53501619,0.46935285,0.01930713
25,TranSQL w/o opt,deepseek,38.016,6.979,1.04016872,0.201291222,0.24246465,0.0397689
25,TranSQL w/ opt,deepseek,9.53,3.525,0.37241341,0.228478045,0.0019888,0.08927555
25,Deepspeed,deepseek,233.123,13.443,10.36577447,5.70454245,0.49698212,0.32731465
25,Llama.cpp,deepseek,214.858,12.091,0.74152999,5.17134037,0.00916499,0.21189026
50,TranSQL w/o opt,llama,68.353,9.179,2.47560431,0.697321287,0.45282804,0.23135122
50,TranSQL w/ opt,llama,24.822,5.141,0.98335328,7.94537441,0.21395849,0.05389608
50,Deepspeed,llama,441.302,18.867,12.5407496,2.81578081,0.93249878,0.17585917
50,Llama.cpp,llama,388.893,16.253,5.62439349,2.58491872,0.7951563,0.06278854
50,TranSQL w/o opt,deepseek,68.423,7.153,0.48817637,2.11793565,0.29056349,0.02554851
50,TranSQL w/ opt,deepseek,21.894,3.61,0.3736008,0.824356774,0.01400023,0.10743139
50,Deepspeed,deepseek,450.14,13.826,18.39788963,10.432748,0.16131013,0.28444827
50,Llama.cpp,deepseek,400.925,12.402,9.8444418,9.03054176,0.27270867,0.06995735
100,TranSQL w/o opt,llama,134.624,9.46,3.85658369,3.71757965,0.20739431,0.3024205
100,TranSQL w/ opt,llama,48.025,5.2,0.24328427,0.216900321,0.06286968,0.11655452
100,Deepspeed,llama,870.463,18.412,20.04853963,32.504072,0.89604607,0.29761338
100,Llama.cpp,llama,929.852,16.633,40.61994288,11.8014154,0.69133048,0.35419112
100,TranSQL w/o opt,deepseek,135.569,7.263,3.00061443,2.7725905,0.04599319,0.21704127
100,TranSQL w/ opt,deepseek,43.849,3.684,0.40305201,0.396701526,0.12406666,0.05581865
100,Deepspeed,deepseek,1041.184,13.84,8.88655926,18.0599335,0.07594564,0.34449587
100,Llama.cpp,deepseek,1060.124,12.448,40.47517388,29.2698477,0.02665284,0.07733541
200,TranSQL w/o opt,llama,247.469,9.65,6.68365471,6.72745204,0.2874331,0.25000855
200,TranSQL w/ opt,llama,88.242,5.278,1.12662799,1.92832227,0.01778196,0.05556024
200,Deepspeed,llama,1716.976,19.652,62.61382219,38.5295457,0.88345956,0.20930074
200,Llama.cpp,llama,1768.537,16.836,85.83847773,14.2478496,0.33559772,0.28681496
200,TranSQL w/o opt,deepseek,284.78,7.266,13.67888306,4.59200585,0.16393193,0.02258419
200,TranSQL w/ opt,deepseek,105.72,3.705,4.58854829,3.06779406,0.14161849,0.02489093
200,Deepspeed,deepseek,2329.457,14.372,79.04413761,69.8562798,0.20001133,0.26762592
200,Llama.cpp,deepseek,2256.128,12.675,84.76819389,23.8344352,0.22079214,0.27880135
